latitude,longitude,api
6110863.821532362,-11374900.528398953,33061004990000
6112992.380850857,-11376867.321162289,33061005030000
6108159.064265386,-11374389.905894684,33061005040000
6108191.011138225,-11376850.289280197,33061005060000
6115401.734235222,-11376975.078429377,33061005070000
6113021.515497925,-11379323.919685114,33061005080000
6110820.047368849,-11373076.781181287,33061005110000
6110469.029928573,-11373596.19792533,33061005120000
6105702.339920345,-11376896.152910404,33061005140000
6113255.595168174,-11377843.259138072,33061005150000
6117814.929683175,-11376918.305489073,33061005160000
6115427.379922785,-11374104.482720291,33061005170000
6105814.455181754,-11379230.63395183,33061005180000
6105735.109363093,-11381617.212514946,33061005190000
6107926.953838477,-11375849.527057966,33061005200000
6110493.995132733,-11380188.98344807,33061005210000
6113285.563154786,-11370344.555599257,33061005220000
6110305.759284438,-11378356.55331012,33061005230000
6110830.366733282,-11370717.698532397,33061005240000
6108227.284294273,-11381560.884852605,33061005260000
6110886.291246768,-11380199.00220224,33061005270000
6115751.787838454,-11370728.830481475,33061005280000
6163700.55699289,-11415413.587280802,33061005300000
6163746.109737607,-11412620.46993731,33061005310000
6117720.980734355,-11374534.621232715,33061005330000
6105785.0123081105,-11369466.133497406,33061005340000
6110527.448620195,-11371130.693843238,33061005350000
6107829.119926372,-11373483.542600645,33061005360000
6113339.339304392,-11380020.334419515,33061005400000
6117744.634450743,-11379323.36308766,33061005420000
6117699.159405976,-11381748.680833574,33061005450000
6105432.870059207,-11371097.07535702,33061005460000
6137422.311493418,-11377833.574342374,33061005490000
6105257.3865189245,-11373501.687677646,33061005510000
6105398.771080981,-11368772.167791802,33061005520000
6114155.179834537,-11378769.103343002,33061005540000
6091292.084145514,-11369090.207576998,33061005570000
6112879.838800733,-11383987.315793427,33061005580000
6105745.422614615,-11367287.16578462,33061005590000
6137463.216496345,-11380240.413052816,33061005610000
6105360.846522846,-11375941.47695736,33061005640000
6119988.53614472,-11381808.236761147,33061005690000
6136911.098926922,-11384211.401928391,33061005700000
6105406.921556142,-11378319.483919688,33061005830000
6129861.58324111,-11379379.468111021,33061005960000
6110506.810632418,-11368725.74756414,33061006020000
6105444.5136437705,-11380498.785590947,33061006050000
6100894.571943235,-11374100.697857603,33061006090000
6117704.156651848,-11369580.681253433,33061006120000
6132586.714395804,-11380260.561880648,33061006140000
6122599.358353691,-11379334.272397758,33061006160000
6110531.276639517,-11385471.427244682,33061006170000
6107872.546066024,-11385493.357184367,33061006180000
6105355.690126566,-11383079.171387535,33061006190000
6130145.500968978,-11377804.519955276,33061006200000
6118084.955354511,-11377830.234757649,33061006210000
6110535.104660547,-11374722.862491647,33061006260000
6132526.977110857,-11377796.727590922,33061006270000
6125016.748579272,-11381807.12356624,33061006280000
6108236.768585129,-11364891.90430122,33061006290000
6105351.698079961,-11385493.913781822,33061006300000
6100878.61206286,-11376776.595777294,33061006320000
6100914.023087536,-11379000.313925378,33061006350000
6112941.270594777,-11386595.642782204,33061006390000
6100884.430765811,-11367297.407177772,33061006420000
6107878.70227985,-11366432.120775836,33061006430000
6124979.57074859,-11379402.622565106,33061006440000
6120545.895833365,-11380245.979027355,33061006450000
6102997.711918861,-11371107.762028135,33061006470000
6102969.609016864,-11373591.745145697,33061006490000
6125306.674506181,-11375336.344205407,33061006500000
6100904.71313263,-11381626.452032683,33061006510000
6117704.822951516,-11384201.27185473,33061006520000
6120481.076954989,-11375368.738177229,33061006540000
6100649.358304451,-11373490.667048056,33061006550000
6108397.8367392095,-11370441.180917265,33061006600000
6141950.597243621,-11381829.61010338,33061006640000
6137078.049379143,-11379425.220421737,33061006690000
6125415.878592129,-11377264.620424928,33061006720000
6118154.087291644,-11374906.205692982,33061006750000
6125465.396018016,-11382229.024436347,33061006860000
6125357.191643153,-11380201.67387002,33061006890000
6110841.351876804,-11387415.956109859,33061006900000
6125282.499744026,-11384504.17218918,33061006910000
6122586.358098472,-11386582.50708229,33061006930000
6113238.446867378,-11386864.256713487,33061006950000
6115651.200087879,-11384451.963347998,33061007000000
6181331.715915247,-11383288.118071754,33061007020000
6122906.370112892,-11384588.886321673,33061007030000
6141913.846942664,-11379425.109102245,33061007050000
6118092.618144166,-11382537.824703807,33061007110000
6137404.446920826,-11382651.81586238,33061007140000
6166465.47954243,-11408511.444893148,33061007160000
6113288.726448372,-11382192.84560184,33061007180000
6134979.552054552,-11379699.177688578,33061007280000
6130136.326042114,-11382125.274670927,33061007300000
6129845.736171722,-11384235.112979932,33061007310000
6093681.235281119,-11378651.661280213,33061007320000
6137521.819514705,-11384508.291010339,33061007400000
6113258.092496395,-11368267.779179018,33061007430000
6105703.0052884985,-11386196.89636618,33061007440000
6125058.427953448,-11376916.079099257,33061007450000
6125320.17905818,-11386903.886452211,33061007480000
6100528.66589149,-11378379.596444715,33061007510000
6100638.053708923,-11375861.32692399,33061007520000
6137125.9647604115,-11386421.20514013,33061007630000
6117834.752376594,-11389027.1944196,33061007740000
6132644.282844102,-11384565.286589624,33061007790000
6142204.178623417,-11387471.615855256,33061007870000
6149152.025437508,-11384213.071720755,33061007880000
6141838.008184315,-11388881.25456717,33061007890000
6132243.981559177,-11388840.845592013,33061007900000
6098532.167411091,-11383450.978486784,33061008010000
6132267.341686849,-11386525.511503004,33061008040000
6137485.422151237,-11375427.069590405,33061008060000
6120196.9794271635,-11386659.317530936,33061008080000
6142185.802908487,-11382628.884047275,33061008120000
6142220.549748151,-11380247.537500227,33061008130000
6144678.578586071,-11380202.00782849,33061008140000
6154032.128864248,-11381796.99349258,33061008160000
6127725.3291303255,-11387418.961736111,33061008200000
6100553.26971682,-11382554.8565859,33061008280000
6154084.990583828,-11390931.091670638,33061008290000
6166456.600608901,-11413340.929681724,33061008300000
6164044.888176867,-11413881.385809524,33061008320000
6132561.851620426,-11387506.236216892,33061008350000
6149512.824571747,-11384644.212108597,33061008360000
6132246.985000592,-11369442.533765359,33061008370000
6098074.78842405,-11375861.43824348,33061008540000
6100874.455848883,-11383338.323162101,33061008650000
6127700.647233956,-11384553.4867236,33061008660000
6103347.093546657,-11386176.747538349,33061008690000
6149232.276013351,-11386516.49462425,33061008700000
6096053.936834631,-11376754.665837606,33061008710000
6141888.957055781,-11386433.6729231,33061008720000
6195999.331358591,-11392975.474119058,33061008840000
6142278.1830386,-11385102.625771685,33061008870000
6095725.9526434485,-11378369.466371052,33061008990000
6154017.073371038,-11384234.667701967,33061009000000
6113251.7659329865,-11384370.366161246,33061009020000
6093406.993090235,-11378368.353176145,33061009070000
6153970.903357268,-11386660.764684318,33061009100000
6193249.014080135,-11378042.743665574,33061009120000
6183523.047586282,-11387302.63286823,33061009130000
6168930.3271349445,-11412553.121645378,33061009200000
6176047.211205367,-11416750.868323704,33061009210000
6096093.315717719,-11371932.416815931,33061009300000
6120467.080140723,-11382092.992018597,33061009320000
6169204.987846623,-11412335.71467986,33061009390000
6091281.290044458,-11379129.333215207,33061009400000
6147157.204797429,-11379699.28900807,33061009440000
6095772.806761333,-11382633.670785379,33061009470000
6093661.468289042,-11374399.702009873,33061009520000
6098172.012660275,-11385505.268369883,33061009610000
6154031.1251638755,-11388944.372718452,33061009620000
6095739.078416667,-11371209.842001192,33061009640000
6105356.189132519,-11366479.431559423,33061009660000
6100531.824486747,-11380284.161612699,33061009670000
6096078.6940016635,-11378687.283517268,33061009680000
6149507.975918952,-11375383.543669505,33061009700000
6169213.869640147,-11415187.608714493,33061009710000
6102997.545629228,-11390302.136547657,33061009720000
6146791.657945575,-11379399.839577835,33061009740000
6164043.715819506,-11411429.017427348,33061009750000
6132545.999553014,-11367732.666386776,33061009760000
6098228.353362324,-11383088.076946799,33061009830000
6091025.888961909,-11385550.352763653,33061009860000
6105432.537385594,-11363983.425936857,33061009870000
6107873.544370669,-11363983.648575839,33061009880000
6149611.637370971,-11380071.43006579,33061009890000
6086233.129163162,-11385442.484177075,33061009900000
6132543.329734018,-11374878.041861812,33061009960000
6173781.341784919,-11416694.874619832,33061009970000
6161593.673210117,-11416217.647962803,33061009980000
6088550.485873806,-11385153.164820503,33061010030000
6091254.221819874,-11381046.254846668,33061010090000
6088903.264881024,-11376667.613995805,33061010120000
6156752.590091656,-11408476.935851002,33061010130000
6084129.441717771,-11386028.692615593,33061010140000
6091388.733469861,-11383474.355579851,33061010150000
6151686.970066194,-11379388.596309265,33061010170000
6146723.297237331,-11384233.109229097,33061010180000
6105754.904163234,-11368078.202086195,33061010250000
6091322.307700603,-11385776.99924691,33061010270000
6088501.845009771,-11383101.546605183,33061010280000
6093369.2875496885,-11375997.58198072,33061010300000
6088907.9133598665,-11379129.221895717,33061010330000
6166467.489868283,-11415780.718961438,33061010340000
6088657.231123672,-11377907.935762223,33061010360000
6197860.497452008,-11392558.137348073,33061010430000
6086482.081030863,-11378644.648152294,33061010450000
6183471.513939762,-11382861.764422016,33061010460000
6181056.999998327,-11382897.27533958,33061010470000
6088924.681107995,-11381079.762013396,33061010500000
6144626.276299599,-11384638.98009253,33061010530000
6149603.277529854,-11387422.746598797,33061010540000
6122931.87158437,-11386947.18973413,33061010590000
6081680.5726217525,-11378823.87253247,33061010600000
6093310.819373456,-11383133.606618533,33061010620000
6084161.963063204,-11378686.059002869,33061010640000
6083763.916890102,-11382565.654576506,33061010750000
6088883.34285732,-11369168.7991375,33061010770000
6171359.847858731,-11409504.748709496,33061010810000
6176127.211825817,-11419104.273678564,33061010860000
6103320.985051526,-11388781.067025457,33061010950000
6193215.235226139,-11385377.250955472,33061011010000
6084107.0418829955,-11376803.535094066,33061011090000
6193473.873747572,-11385691.839836452,33061011100000
6125001.410620607,-11378138.033149693,33061011130000
6134699.980438962,-11380589.288336962,33061011150000
6168985.962391791,-11411287.53035455,33061011180000
6115667.52053676,-11383791.28217014,33061011200000
6108254.073283179,-11385742.935482727,33061011220000
6174234.23275936,-11392974.13828517,33061011260000
6181362.0912792655,-11382232.36402107,33061011280000
6084107.705580964,-11371475.005028263,33061011290000
6095834.780862947,-11385469.423493847,33061011380000
6139907.68711053,-11382058.037698489,33061011390000
6100931.645529821,-11375135.078566056,33061011430000
6181126.307454991,-11402258.406456308,33061011470000
6093674.258690485,-11377538.2437333,33061011490000
6149225.7556259455,-11388436.644520944,33061011530000
6084127.284694107,-11373896.092633525,33061011580000
6185798.560379538,-11387238.624161026,33061011600000
6096086.171012444,-11385901.120479144,33061011620000
6083809.212587068,-11378367.017342256,33061011640000
6164046.897932715,-11412621.583132217,33061011660000
6183452.545607616,-11380336.481773369,33061011680000
6188378.848060183,-11382827.032740887,33061011690000
6088553.972089648,-11373088.358408328,33061011710000
6185914.920991199,-11394858.665944805,33061011720000
6195966.886453417,-11380757.158129077,33061011750000
6084150.84605884,-11381490.308295442,33061011760000
6188602.067499892,-11373853.23462957,33061011770000
6193238.090555472,-11382847.181568721,33061011800000
6183872.712448474,-11388118.04813829,33061011820000
6188680.17049123,-11380697.268243032,33061011830000
6190798.630368433,-11390016.2680953,33061011860000
6103010.516230156,-11387864.017060302,33061011910000
6186194.998936443,-11392984.045719847,33061011920000
6181339.267791219,-11392908.237146618,33061011950000
6193584.793259618,-11391038.292340273,33061011970000
6191054.1712947665,-11390574.8693001,33061012010000
6183560.984606659,-11389812.99870511,33061012040000
6186279.7965330975,-11383184.813584298,33061012050000
6181435.093287456,-11390774.687786072,33061012070000
6193583.952954848,-11383299.13870134,33061012120000
6169179.515584399,-11417518.08225425,33061012140000
6190810.054782588,-11387683.790804707,33061012150000
6185965.629864616,-11392600.550074065,33061012160000
6185963.950758014,-11385146.930929018,33061012190000
6196013.956822609,-11386181.979554415,33061012210000
6174163.136842578,-11395246.28041175,33061012250000
6186290.87905364,-11390532.122615635,33061012280000
6181066.061958215,-11394958.408208556,33061012300000
6176549.030443839,-11392866.82629604,33061012310000
6163695.197862431,-11389004.819201954,33061012380000
